business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife,family,romantic,friendship,professional,family_pct,romantic_pct,friendship_pct,professional_pct,city,review_count,name,longitude,state,stars,address,latitude,metroarea,categories,is_active,is_arts,is_auto,is_beautysvc,is_bicycles,is_education,is_eventservices,is_financialservices,is_food,is_health,is_homeservices,is_hotelstravel,is_localflavor,is_localservices,is_massmedia,is_nightlife,is_pets,is_professional,is_publicservicesgovt,is_religiousorgs,is_restaurants,is_shopping
EQ-TZ2eeD_E0BHuvoaeG5Q,1273,247,1,0,0,0,24,2,4,0,0,1,3,2,3,5,3,87,10,0,0,0,1,1,37,10,0,0,1,5,7,0,0,2,8,5,0,0,0,25,48,108,88,3,0.19433198380566802,0.43724696356275305,0.3562753036437247,0.012145748987854251,Indianapolis,1379,Milktooth,-86.146494347,IN,4.0,534 Virginia Ave,39.7591692208,Indianapolis,"Beer, Wine & Spirits, Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, American (New)",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
cPepkJeRMtHapc_b2Oe_dw,34,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0.16666666666666666,0.5,0.3333333333333333,0.0,Indianapolis,33,Naked Tchopstix Express,-86.211285,IN,3.5,"2902 W 86th St, Ste 70",39.912505,Indianapolis,"Restaurants, Food, Poke, Hawaiian, Sushi Bars",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
oJ4ik-4PZe6gexxW-tSmsw,335,82,0,0,0,1,11,0,3,0,0,0,1,1,0,1,0,22,4,0,0,0,0,0,13,3,0,0,0,1,4,0,0,0,1,2,0,0,0,14,11,47,22,2,0.13414634146341464,0.573170731707317,0.2682926829268293,0.024390243902439025,Indianapolis,378,Broad Ripple Brewpub,-86.142783297,IN,3.5,842 E 65th St,39.8735797809,Indianapolis,"Nightlife, Food, Pizza, Brewpubs, Restaurants, Fish & Chips, American (New), Bars, Pubs, Breweries, Vegetarian",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
O8BBn8lry8lLoIFmChceGg,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,Indianapolis,20,Just Pizza,-86.2116976,IN,3.5,3124 W 16th St,39.7881543,Indianapolis,"Restaurants, Pizza",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ELKgARoj5UNjQXUkX8T8KQ,75,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,Indianapolis,78,Laundromat,-86.1195512452,IN,4.5,2509 E 65th St,39.8748864619,Indianapolis,"Local Services, Laundry Services, Dry Cleaning & Laundry, Laundromat",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
gZqFuqTjtN4Bfh-_fO315w,133,16,0,0,0,1,3,0,0,0,0,1,0,0,2,0,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,4,2,1,0.5625,0.25,0.125,0.0625,Indianapolis,157,Tandoor & Tikka,-86.172077,IN,4.0,805 W 10th St,39.780457,Indianapolis,"Indian, Sandwiches, Restaurants, Pizza",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
LktIfbmd3k0kDiWibGw7DQ,68,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,6,4,0,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,Indianapolis,67,Stacked Pickle - 96th Street,-86.0890453372,IN,3.0,4705 E 96th St,39.9254897722,Indianapolis,"Chicken Wings, Bars, Nightlife, Sports Bars, Burgers, Restaurants, American (New)",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
Q1HHAb4FzrzfnnrRyA8fgg,101,19,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,2,0,0,0,4,9,9,1,0,0.47368421052631576,0.47368421052631576,0.05263157894736842,0.0,Indianapolis,103,Cheeseburger in Paradise,-86.089236,IN,3.0,4670 Southport Crossings Dr,39.664583,Indianapolis,"Restaurants, Burgers, Bars, American (Traditional), Nightlife",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
9V0LMtO1riRw9-pUuG4NFg,517,136,0,0,0,0,11,1,1,0,0,0,1,5,2,3,1,36,4,0,0,0,0,0,37,6,0,2,0,1,0,0,0,0,6,2,0,0,0,17,24,75,36,1,0.17647058823529413,0.5514705882352942,0.2647058823529412,0.007352941176470588,Indianapolis,603,Delicia,-86.1451809,IN,4.5,5215 N College Ave,39.847406,Indianapolis,"Latin American, Caribbean, Breakfast & Brunch, Restaurants, Mexican",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
WW8WN8J89M3U4z1xP4MhnA,43,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,Indianapolis,44,Bob Evans,-86.0354844434,IN,2.5,7525 E 96th St,39.9265503193,Indianapolis,"Hotels & Travel, Salad, American (Traditional), Comfort Food, Breakfast & Brunch, Bed & Breakfast, Restaurants",False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
