business_id,num_reviews,num_relationship_words,aunt,aunts,bae,bf,bff,boo,boss,boyfriend,brother,brothers,buddies,buddy,child,children,classmate,classmates,client,clients,colleague,colleagues,cousin,cousins,coworker,coworkers,dad,date,daughter,daughters,father,fiance,fiancee,flatmate,flatmates,friend,friends,gf,girlfriend,grandchild,grandchildren,grandfather,grandma,grandmother,grandpa,grandparents,housemate,housemates,husband,kid,kids,mom,mother,neighbor,neighbors,nephew,nephews,niece,nieces,pal,pals,parent,parents,partner,professor,professors,relationship,roommate,roommates,siblings,sister,sisters,son,sons,spouse,sweetheart,teacher,teachers,uncle,uncles,wife
EQ-TZ2eeD_E0BHuvoaeG5Q,1273,247,1,0,0,4,0,0,0,20,2,0,0,1,0,2,0,0,0,0,1,1,1,0,1,0,3,2,3,0,2,3,0,0,0,59,27,3,7,0,0,0,0,0,0,1,0,0,37,0,2,9,1,0,0,0,0,1,0,0,0,0,5,7,0,0,0,1,0,2,8,0,5,0,0,0,0,0,0,0,25
cPepkJeRMtHapc_b2Oe_dw,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oJ4ik-4PZe6gexxW-tSmsw,335,82,0,0,0,1,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,11,10,0,4,0,0,0,0,0,0,0,0,0,13,1,2,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,14
O8BBn8lry8lLoIFmChceGg,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELKgARoj5UNjQXUkX8T8KQ,75,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gZqFuqTjtN4Bfh-_fO315w,133,16,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
LktIfbmd3k0kDiWibGw7DQ,68,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Q1HHAb4FzrzfnnrRyA8fgg,101,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4
9V0LMtO1riRw9-pUuG4NFg,517,136,0,0,0,1,0,0,0,10,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,5,1,1,1,1,0,0,0,25,10,0,4,0,0,0,0,0,0,0,0,0,37,0,0,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,17
WW8WN8J89M3U4z1xP4MhnA,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TSgZB6PkWFjmasewVkySjA,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z680Aylt8wN2KAeFM1hy-A,394,60,0,0,0,1,0,0,0,11,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,15,8,0,3,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
F_wIC6i5y4zdQyp99R7PdQ,88,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0cB1kDuZCvSwpJrNdtQP8Q,252,46,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,3,1,2,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,6
SlZJATE_TGUU8X34UJNi4g,132,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
I2Yt74AzSQFfyQqgN7PSEg,107,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Dtuf4vD0znzwJW9vk3iTNw,220,53,0,0,0,0,0,0,0,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,7
7R_LxvRPu3qMc8xMhP0POw,43,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
rVhsjZWk_u20TDcvwhbdyQ,256,36,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6
72Y65Cg8MO1t9cWCHpwEQQ,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1T9F7iLDFAYWJvif1RKneg,372,70,0,0,0,2,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,9,7,2,2,0,0,0,0,1,0,0,0,0,12,0,1,2,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,7
zwfN21b6gN2XGjNG6MYNzQ,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9_m_iA3VAqGBJEW5XLc-5w,473,64,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,7,3,0,3,0,0,0,0,1,0,0,0,0,13,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17
HCbJPXWXvwN-C7XfmVy3gA,274,59,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,0,9,7,0,1,0,0,0,0,0,0,0,0,0,10,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9
-DXNvQLhKwunHzg8OjkwXA,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5FDt7sy-70y4_37Dh2qcbw,137,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
osOONoA8wMF5ZpLWUS7VOw,211,24,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6
goexJ699bcLWGtL0E1G_GA,183,25,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Bg3xluNKVnqotkukgreP_Q,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
i7syG2Gyr_qVPR1GwehzuA,170,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,17,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
9dm_v79s9-pefMahqp1SkA,132,30,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
bRRlWJeuPtmI3UuGhh43Wg,216,53,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,3,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,5
kSQNBSWTLlo-SwR6IcpvHA,73,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tFUJRLtNgIGg8ifaDtM_Kg,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sr-5EY6bmp4jINhea06MjA,893,266,2,0,0,2,0,0,1,11,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,1,1,20,8,0,0,0,0,0,40,31,0,3,0,0,0,2,2,0,1,0,0,33,1,4,24,11,0,0,1,0,8,2,0,0,0,3,1,0,0,0,0,0,0,13,1,4,0,0,0,0,0,0,0,28
7clCBgNbd-x2Wj96lZ6Mjw,136,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5RzJ2bjU8bLSaN5SuiUpYA,187,28,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
v5kwdvmg-J8g-ll0nkc3Sw,214,45,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,6,2,0,1,0,0,0,1,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,6
cHCRC7r9irhK0dIum1zeUw,307,52,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,4,0,0,0,0,0,0,0,0,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13
3y61A28PQDZ4weeeTRfIlA,419,108,0,0,0,2,0,0,1,10,0,0,0,2,1,0,0,0,0,0,1,1,1,0,2,0,1,5,2,0,0,1,0,0,0,13,8,1,2,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,1,0,0,0,0,0,17
pafrjSu3h0v0N8GR3ghNtQ,488,62,0,0,0,1,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,2,0,0,0,7,6,1,4,0,0,0,0,0,0,0,0,0,6,0,1,3,3,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6
d-37SrSuOew0uqwuOM_w7w,58,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ioxgFKdqjRowAj4dFM7VoA,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-4t5Hoon6aVFTWDPz26fQ,267,70,2,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,2,0,0,11,6,0,1,0,0,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10
