business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife,family,romantic,friendship,professional,family_pct,romantic_pct,friendship_pct,professional_pct,city,review_count,name,longitude,state,stars,address,latitude,metroarea,categories,is_active,is_arts,is_auto,is_beautysvc,is_bicycles,is_education,is_eventservices,is_financialservices,is_food,is_health,is_homeservices,is_hotelstravel,is_localflavor,is_localservices,is_massmedia,is_nightlife,is_pets,is_professional,is_publicservicesgovt,is_religiousorgs,is_restaurants,is_shopping
ltBBYdNzkeKdCNPDAsxwAA,1158,216,0,0,0,0,25,2,3,0,0,4,4,3,3,5,2,64,11,0,0,0,0,0,47,4,0,0,0,2,1,0,0,0,4,5,0,0,0,27,32,116,64,4,0.14814814814814814,0.5370370370370371,0.2962962962962963,0.018518518518518517,Nashville,1222,Tavern,-86.7970117,TN,4.0,1904 Broadway,36.1508999,Nashville,"Cocktail Bars, Nightlife, Gastropubs, Sports Bars, Restaurants, American (New), Lounges, Bars",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
8QnuWGVNBhzyYXGSeRdi4g,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,Nashville,17,Sweet Cece's,-86.921196,TN,3.5,7114 Hwy 70 S,36.075187,Nashville,"Food, Ice Cream & Frozen Yogurt",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Zx7n8mdt8OzLRXVzolXNhQ,1328,322,0,0,0,0,32,3,2,0,0,1,4,3,14,4,0,104,10,0,0,0,0,3,70,6,1,1,2,2,1,0,1,0,12,10,1,0,0,35,57,153,108,4,0.17701863354037267,0.4751552795031056,0.33540372670807456,0.012422360248447204,Nashville,1725,Milk and Honey Nashville,-86.7845414,TN,4.0,214 11th Ave S,36.1547024,Nashville,"American (New), Restaurants, American (Traditional), Food, Breakfast & Brunch, Coffee & Tea, Pizza",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
eaJCpC6IhYphj7bwCDHTwQ,202,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,3,6,6,1,0.1875,0.375,0.375,0.0625,Nashville,249,Three Brothers Coffee,-86.8122664,TN,4.5,2813 W End Ave,36.1448084,Nashville,"Bagels, Sporting Goods, Outdoor Gear, Coffee & Tea, Cafes, Sandwiches, Food, Shopping, Internet Cafes, Restaurants",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
oQ5CPRt0R3AzFvcjNOqB1w,954,189,1,0,0,0,29,1,4,0,0,1,3,0,4,1,4,47,12,0,0,1,0,1,41,2,0,0,0,0,0,0,0,0,8,4,2,0,0,23,27,111,48,3,0.14285714285714285,0.5873015873015873,0.25396825396825395,0.015873015873015872,Nashville,1114,Edley's Bar-B-Que - 12 South,-86.7897823,TN,4.0,2706 12th Ave S,36.1229732,Nashville,"Barbeque, Restaurants, Dive Bars, Cocktail Bars, Southern, Nightlife, Bars",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
pAgtmlIGqFYaWdBoCUeitw,94,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,2,7,4,2,0,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.0,Nashville,105,Holiday Inn Nashville-Vanderbilt,-86.8110662472,TN,3.5,2613 West End Ave,36.1448682715,Nashville,"Fashion, Event Planning & Services, Venues & Event Spaces, Hotels, Shopping, Hotels & Travel, Women's Clothing",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
9OtFX3YzG5keaUMOWU1imA,66,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,1,0.3,0.3,0.3,0.1,Nashville,73,Champions,-86.6930527,TN,4.0,600 Marriott Drive,36.1462072,Nashville,"American (Traditional), Bars, American (New), Restaurants, Sports Bars, Nightlife",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
X_E7U2lVNEwbH_gpOBmAHQ,146,17,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,4,1,0.11764705882352941,0.5882352941176471,0.23529411764705882,0.058823529411764705,Nashville,182,Cerveza Jack's,-86.776016,TN,4.0,135 2nd Ave N,36.162799,Nashville,"Nightlife, Restaurants, Bars, Mexican",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
EBn3U4mpnIRLIy2lKuilRQ,99,17,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,8,2,0,0.4117647058823529,0.47058823529411764,0.11764705882352941,0.0,Nashville,120,Logan's Roadhouse,-86.766502,TN,2.0,727 Thompson Ln,36.1119137436,Nashville,"Restaurants, Nightlife, American (New), Barbeque, Steakhouses, Bars, American (Traditional), Burgers",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
jOOOrH5n2ijnsZKxzPSAiw,97,6,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,Nashville,112,Chick-fil-A,-86.87969636,TN,3.5,6500 Charlotte Pike,36.14023653,Nashville,"Caterers, Food Delivery Services, Fast Food, Food, Restaurants, Event Planning & Services, Salad, Chicken Shop",False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
