business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife
ltBBYdNzkeKdCNPDAsxwAA,1158,216,0,0,0,0,25,2,3,0,0,4,4,3,3,5,2,64,11,0,0,0,0,0,47,4,0,0,0,2,1,0,0,0,4,5,0,0,0,27
8QnuWGVNBhzyYXGSeRdi4g,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zx7n8mdt8OzLRXVzolXNhQ,1328,322,0,0,0,0,32,3,2,0,0,1,4,3,14,4,0,104,10,0,0,0,0,3,70,6,1,1,2,2,1,0,1,0,12,10,1,0,0,35
eaJCpC6IhYphj7bwCDHTwQ,202,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4
oQ5CPRt0R3AzFvcjNOqB1w,954,189,1,0,0,0,29,1,4,0,0,1,3,0,4,1,4,47,12,0,0,1,0,1,41,2,0,0,0,0,0,0,0,0,8,4,2,0,0,23
pAgtmlIGqFYaWdBoCUeitw,94,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,2
9OtFX3YzG5keaUMOWU1imA,66,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
X_E7U2lVNEwbH_gpOBmAHQ,146,17,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EBn3U4mpnIRLIy2lKuilRQ,99,17,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
jOOOrH5n2ijnsZKxzPSAiw,97,6,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pSmOH4a3HNNpYM82J5ycLA,1743,363,0,1,0,0,33,4,5,0,0,3,5,1,16,10,3,89,15,0,0,4,0,1,74,22,1,1,0,6,4,0,0,0,20,10,0,0,2,33
6p07zfmJWvytr0paqpyvbg,162,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-ikBycdroyTLDBHR9aC3HA,109,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4
s3FRhtaNU8dt-mKkLKUQaQ,173,27,0,1,0,0,2,1,1,0,0,0,1,0,0,1,2,6,3,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
vPlhhf6CcB5dzQv1sEwlvg,35,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORL4JE6tz3rJxVqkdKfegA,1423,199,0,0,0,0,6,1,11,0,2,0,10,0,16,4,3,22,8,0,0,1,0,0,54,4,1,0,1,2,1,0,0,0,7,14,0,0,1,30
EDjEVzmoQVHzboFqC-M6Ew,311,40,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,14,1,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,2,1,0,0,0,5
5MIiTuQP0fkAz43aQEBrWA,51,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
LWDktsosohdLy4iI2pIOOQ,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oaboaRBUgGjbo2kfUIKDLQ,525,64,0,0,0,0,5,1,1,0,0,0,0,0,7,2,1,17,4,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,5,4,0,0,0,4
wzE61ThXOdrSegvwSOzf5w,414,89,0,0,0,0,10,1,1,0,0,0,1,0,6,1,1,20,4,0,0,1,0,0,26,3,0,0,0,0,1,0,0,0,1,5,1,0,0,6
cvHY1RTAPSoH94ysP2_eyQ,143,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VRGYwKE_Z77frm5NwLvJhw,651,127,0,1,0,0,18,2,2,0,0,4,2,0,6,2,0,26,6,0,0,0,0,0,28,1,0,0,1,1,0,0,0,0,4,4,0,0,1,18
