business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife
7ATYjTIgM3jUlt4UM3IypQ,151,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kxX2SOes4o-D3ZQBkiMRfA,182,35,0,0,0,0,3,0,1,0,0,0,0,1,2,0,1,7,1,0,0,0,0,0,7,3,0,0,0,0,1,0,0,0,2,0,0,0,0,6
04UD14gamNjLY0IDYVhHJg,230,44,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,10,3,0,0,0,2,3,0,0,1,0,0,0,0,0,3
YtSqYv1Q_pOltsVPSx54SA,260,88,0,0,0,1,13,0,0,0,0,1,1,3,2,1,2,17,4,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,1,3,0,0,0,17
eFvzHawVJofxSnD7TgbZtg,242,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
rjuWz_AD3WfXJc03AhIO_w,85,14,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kq5Ghhh14r-eCxlVmlyd8w,62,9,0,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
oBhJuukGRqPVvYBfTkhuZA,376,102,0,1,0,0,13,1,0,0,0,0,2,5,2,0,0,33,6,0,1,0,0,0,9,4,0,0,0,1,1,0,0,1,6,2,0,0,0,14
jTI5Xjk27An8ceJ6VwpXiQ,305,38,0,0,0,2,4,0,1,0,1,1,0,1,0,0,2,6,2,0,0,0,0,0,9,2,2,0,0,0,1,0,0,0,1,0,0,0,0,3
VJEzpfLs_Jnzgqh5A_FVTg,267,52,0,0,0,1,13,0,0,0,0,0,1,0,0,1,2,16,1,0,0,0,0,1,9,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3
